"Data Source","World Development Indicators",

"Last Updated Date","2022-05-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Expense (current LCU)","GC.XPN.TOTL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Expense (current LCU)","GC.XPN.TOTL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Expense (current LCU)","GC.XPN.TOTL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71622005497.9925","117681398168.849","261228150402.217","271088724622.054","369382969344.848","505827170979.766","435480892313.36","479367000000","524579502423.989","452695874225.7","537138915321.724","504158953812.444","","","","",
"Africa Western and Central","AFW","Expense (current LCU)","GC.XPN.TOTL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Expense (current LCU)","GC.XPN.TOTL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3374521503","20010727422","57193227496","140549000000","344239000000","317673000000","671073000000","801229000000","1042470000000","1487150000000","1422250000000","1975410000000","2800740000000","2866730000000","3722210000000","4006005120081.5","2904287593509.88","2898104213502.56","3377955172687.29","3999890348993.93","5060617584901.87","","",
"Albania","ALB","Expense (current LCU)","GC.XPN.TOTL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57427000000","70476869000","84761692000","115582564000","","","","151597125971.43","155211330000","168140733170","","","","","","","299287980000","306647700000","326183240000","340212550000","350633210000","352757810000","370101670000","380814840000","391686720000","","",
"Andorra","AND","Expense (current LCU)","GC.XPN.TOTL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Expense (current LCU)","GC.XPN.TOTL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Expense (current LCU)","GC.XPN.TOTL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17521000000","18200000000","19228000000","","","","","","","","","","","","53129057490.25","58444661620.11","57465244938.11","57670465805.81","56404645750.181","58559786520.3503","57586165409.8899","61451443059.21","65383483654.81","","",
"Argentina","ARG","Expense (current LCU)","GC.XPN.TOTL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7116500000","20270600000","26745800000","33777300000","38360600000","40023900000","41273000000","43970500000","45137600000","47472200000","47839700000","45657900000","61506900000","74570306476.05","81869697588.4","","","","","","","","","","1125071500000","1489127500000","2154125300000","2588573400000","3345270300000","4750722433014.26","","",
